gene	foldchange
Rv0005	529.170320329765
Rv0006	456.13956043921
Rv0009	113.908300341102
Rv0015c	84.5245024180907
Rv0020c	319.515239272448
Rv0021c	76.296865236077
Rv0022c	43.9362242374223
Rv0023	36.0900756482818
Rv0027	5.0494661785998
Rv0034	2.17409418435876
Rv0035	14.4644376027922
Rv0040c	43.9280894754055
Rv0051	37.0624247314421
Rv0056	95.137244631263
Rv0059	15.4110655100786
Rv0061c	38.6887066664155
Rv0065	4.51529356903289
Rv0068	10.3933719716834
Rv0071	9.91509274445381
Rv0076c	40.0349030663841
Rv0077c	171.574851664285
Rv0078A	61.7418603943986
Rv0078B	64.1044015114164
Rv0085	8.13006728562127
Rv0094c	46.2945142072406
Rv0096	10.9934797310428
Rv0097	18.5379332165072
Rv0099	30.9606791192988
Rv0100	13.6114957590666
Rv0104	9.25306737155633
Rv0105c	1.53187216557822
Rv0108c	28.5059102248259
Rv0111	29.8769909606089
Rv0118c	28.1835951463502
Rv0123	10.4348011447333
Rv0125	216.218972311267
Rv0132c	16.9656105765245
Rv0135c	88.145017547311
Rv0144	104.799938011188
Rv0145	367.921226364584
Rv0150c	2.49596279179799
Rv0151c	16.5907018184073
Rv0152c	16.4296289991534
Rv0159c	13.029781185015
Rv0160c	8.17626234622089
Rv0162c	34.6176825595701
Rv0169	39.9425267656919
Rv0173	27.0576717455078
Rv0186A	63.2772828066997
Rv0190	51.6430742755939
Rv0193c	13.6551831323079
Rv0196	34.3109413641553
Rv0199	19.4493045387008
Rv0211	994.715201739163
Rv0216	12.3889754211231
Rv0217c	17.2127525000388
Rv0224c	6.30201324160641
Rv0226c	27.5585774419987
Rv0229c	24.7989227093782
Rv0231	23.8452459177058
Rv0235c	12.3147883561694
Rv0236c	83.386562324937
Rv0238	65.0752223615427
Rv0239	28.7787909228254
Rv0248c	336.647866334258
Rv0249c	240.925471215046
Rv0250c	374.436782255759
Rv0251c	7561.45641923813
Rv0253	3.18295848670122
Rv0260c	3.16198006379942
Rv0267	13.2369274403928
Rv0275c	66.9699250822302
Rv0277c	33.1750520019836
Rv0281	91.7282851986666
Rv0282	577.111786385256
Rv0283	249.208974988367
Rv0291	140.286396251756
Rv0292	43.7735557353078
Rv0298	66.3485210287735
Rv0299	39.2344247126377
Rv0300	54.6144291337205
Rv0302	50.3757336680465
Rv0304c	46.5536945172588
Rv0310c	4.9626073624694
Rv0312	22.6083851675083
Rv0313	174.090001374491
Rv0318c	7.51171494854951
Rv0324	29.8496463865371
Rv0326	7.3627584470824
Rv0328	14.4520712268191
Rv0329c	7.1022594659009
Rv0331	212.841093373757
Rv0335c	9.79501614459627
Rv0338c	347.043444150703
Rv0340	34.6071870374923
Rv0349	18.5856025673307
Rv0350	9092.39386099918
Rv0351	2300.91631595941
Rv0352	1562.28990512327
Rv0353	133.645230484585
Rv0355c	98.5038204526493
Rv0356c	14.6815442297782
Rv0358	9.2862223419534
Rv0359	12.2347729905603
Rv0360c	6.86654649900299
Rv0362	14.6342331413037
Rv0368c	16.2130004571735
Rv0370c	7.91931904422605
Rv0372c	8.68624986190832
Rv0375c	8.87502624684192
Rv0377	14.6843639088302
Rv0378	2.78962210657726
Rv0382c	186.409447503621
Rv0383c	874.080620395713
Rv0384c	7333.73799360939
Rv0390	32.3919157132062
Rv0393	10.1601131346759
Rv0395	2.33463495297094
Rv0396	2.38811109560788
Rv0397A	12.9172064898783
Rv0398c	16.6998924099764
Rv0402c	33.418865100759
Rv0412c	135.756656501783
Rv0423c	204.680288038991
Rv0428c	20.4925940262246
Rv0440	17784.7986825688
Rv0464c	68.7504095309817
Rv0465c	216.393539125326
Rv0469	143.392235159699
Rv0471c	12.5457739217848
Rv0472c	52.5938003932919
Rv0474	12.8863625139655
Rv0475	877.718428234966
Rv0483	471.869111787289
Rv0485	236.910381310046
Rv0489	29.6952169219271
Rv0500B	27.4488095926397
Rv0516c	25.0751002555095
Rv0518	16.0747571012787
Rv0519c	25.287179899336
Rv0530A	17.421444939468
Rv0540	8.06062774307201
