node1	node2
Rv0073	Rv1821
Rv0073	Rv1859
Rv0073	Rv2038c
Rv0073	Rv2039c
Rv0073	Rv2040c
Rv0073	Rv2150c
Rv0073	Rv2326c
Rv0073	Rv2397c
Rv0073	Rv2427c
Rv0073	Rv2564
Rv0073	Rv2832c
Rv0073	Rv2834c
Rv0073	Rv2839c
Rv0073	Rv2890c
Rv0073	Rv2936
Rv0073	Rv2984
Rv0073	Rv3080c
Rv0073	Rv3102c
Rv0073	Rv3198c
Rv0073	Rv3211
Rv0073	Rv3240c
Rv0073	Rv3417c
Rv0073	Rv3432c
Rv0073	Rv3442c
Rv0073	Rv3458c
Rv0073	Rv3596c
Rv0073	Rv3646c
Rv0073	Rv3663c
Rv0073	Rv3758c
Rv0075	Rv2294
Rv0082	Rv0655
Rv0082	Rv0820
Rv0082	Rv0933
Rv0082	Rv0986
Rv0082	Rv1238
Rv0082	Rv1281c
Rv0082	Rv1687c
Rv0082	Rv1747
Rv0082	Rv1859
Rv0082	Rv2038c
Rv0082	Rv2397c
Rv0082	Rv2564
Rv0082	Rv2832c
Rv0082	Rv2936
Rv0082	Rv3102c
Rv0082	Rv3663c
Rv0082	Rv3758c
Rv0083	Rv2153c
Rv0083	Rv2158c
Rv0087	Rv0440
Rv0087	Rv2299c
Rv0087	Rv3148
Rv0087	Rv3417c
Rv0092	Rv1638
Rv0092	Rv2752c
Rv0092	Rv2897c
Rv0092	Rv2996c
Rv0101	Rv1253
Rv0101	Rv3211
Rv0103c	Rv1638
Rv0103c	Rv2752c
Rv0103c	Rv2897c
Rv0103c	Rv2996c
Rv0107c	Rv0357c
Rv0107c	Rv0853c
Rv0107c	Rv1659
Rv0107c	Rv2217
Rv0107c	Rv2643
Rv0107c	Rv2971
Rv0118c	Rv0440
Rv0118c	Rv0462
Rv0118c	Rv0641
Rv0118c	Rv0667
Rv0118c	Rv0668
Rv0118c	Rv0672
Rv0118c	Rv0683
Rv0118c	Rv0701
Rv0118c	Rv0702
Rv0118c	Rv0704
Rv0118c	Rv0706
Rv0118c	Rv0707
Rv0118c	Rv0708
Rv0118c	Rv0714
Rv0118c	Rv0716
Rv0118c	Rv0719
Rv0118c	Rv0721
Rv0118c	Rv0794c
Rv0118c	Rv1253
Rv0118c	Rv1415
Rv0118c	Rv1630
Rv0118c	Rv1643
Rv0118c	Rv1711
Rv0118c	Rv1820
Rv0118c	Rv1821
Rv0118c	Rv1940
Rv0118c	Rv2215
Rv0118c	Rv2241
Rv0118c	Rv2495c
Rv0118c	Rv2583c
Rv0118c	Rv2713
Rv0118c	Rv2839c
Rv0118c	Rv2855
Rv0118c	Rv2890c
Rv0118c	Rv2904c
Rv0118c	Rv3003c
Rv0118c	Rv3211
Rv0118c	Rv3240c
Rv0118c	Rv3303c
Rv0118c	Rv3417c
Rv0118c	Rv3443c
Rv0118c	Rv3456c
Rv0118c	Rv3458c
Rv0118c	Rv3460c
Rv0118c	Rv3470c
Rv0118c	Rv3797
Rv0120c	Rv0334
Rv0120c	Rv0684
Rv0120c	Rv0685
Rv0120c	Rv1640c
Rv0120c	Rv2150c
Rv0120c	Rv2457c
Rv0120c	Rv2521
Rv0120c	Rv2538c
Rv0120c	Rv2584c
Rv0120c	Rv2879c
Rv0120c	Rv2883c
Rv0120c	Rv3589
Rv0120c	Rv3598c
Rv0125	Rv0983
Rv0125	Rv1223
Rv0125	Rv2460c
Rv0125	Rv2461c
Rv0125	Rv2883c
Rv0126	Rv1394c
Rv0126	Rv3419c
Rv0131c	Rv2088
Rv0131c	Rv2176
Rv0137c	Rv0667
Rv0137c	Rv0668
Rv0137c	Rv1281c
Rv0137c	Rv1384
Rv0137c	Rv2457c
Rv0137c	Rv2674
Rv0137c	Rv3663c
Rv0147	Rv0223c
Rv0147	Rv0234c
Rv0147	Rv0458
Rv0147	Rv0753c
Rv0147	Rv0768
Rv0147	Rv1187
Rv0147	Rv1416
Rv0147	Rv1473
Rv0147	Rv1617
Rv0147	Rv1668c
Rv0147	Rv1731
Rv0147	Rv2462c
Rv0147	Rv2477c
Rv0147	Rv2858c
Rv0147	Rv3293
Rv0148	Rv0242c
Rv0148	Rv0484c
Rv0148	Rv0687
Rv0148	Rv0765c
Rv0148	Rv0769
Rv0148	Rv0851c
Rv0148	Rv0927c
Rv0148	Rv1050
Rv0148	Rv1350
Rv0148	Rv1483
Rv0148	Rv1714
Rv0148	Rv1865c
Rv0148	Rv1928c
Rv0148	Rv1941
Rv0148	Rv2002
Rv0148	Rv2750
Rv0148	Rv2766c
Rv0148	Rv2857c
Rv0148	Rv3057c
Rv0148	Rv3502c
Rv0148	Rv3530c
Rv0148	Rv3548c
Rv0148	Rv3549c
Rv0148	Rv3559c
Rv0154c	Rv2088
Rv0154c	Rv2176
Rv0155	Rv1420
Rv0161	Rv0800
Rv0162c	Rv0655
Rv0162c	Rv0728c
Rv0162c	Rv0761c
Rv0162c	Rv0820
Rv0162c	Rv0933
Rv0162c	Rv2259
Rv0162c	Rv2397c
Rv0162c	Rv2996c
Rv0162c	Rv3086
Rv0166	Rv0214
Rv0166	Rv0270
Rv0166	Rv0542c
Rv0166	Rv0551c
Rv0166	Rv1058
Rv0166	Rv1193
Rv0166	Rv1427c
Rv0166	Rv1475c
Rv0166	Rv2505c
Rv0166	Rv2948c
Rv0166	Rv3089
Rv0166	Rv3561
Rv0189c	Rv0655
Rv0189c	Rv0820
Rv0189c	Rv0933
Rv0189c	Rv0986
Rv0189c	Rv1238
Rv0189c	Rv1281c
Rv0189c	Rv1687c
Rv0189c	Rv1747
Rv0189c	Rv1859
Rv0189c	Rv2038c
Rv0189c	Rv2397c
Rv0189c	Rv2564
Rv0189c	Rv2832c
Rv0189c	Rv2936
Rv0189c	Rv3102c
Rv0189c	Rv3663c
Rv0189c	Rv3758c
Rv0194	Rv0384c
Rv0194	Rv0764c
Rv0194	Rv1272c
Rv0194	Rv1273c
Rv0194	Rv1348
Rv0194	Rv1349
Rv0194	Rv1621c
Rv0194	Rv1819c
Rv0194	Rv2427c
Rv0194	Rv3596c
Rv0197	Rv1299
Rv0197	Rv3105c
Rv0208c	Rv0350
Rv0208c	Rv0462
Rv0208c	Rv0683
Rv0208c	Rv0701
Rv0208c	Rv0702
Rv0208c	Rv0704
Rv0208c	Rv0706
Rv0208c	Rv0707
Rv0208c	Rv0716
Rv0208c	Rv0719
Rv0208c	Rv0721
Rv0208c	Rv0794c
Rv0208c	Rv1095
Rv0208c	Rv1253
Rv0208c	Rv1630
Rv0208c	Rv2241
Rv0208c	Rv2368c
Rv0208c	Rv2713
Rv0208c	Rv2855
Rv0208c	Rv2890c
Rv0208c	Rv2904c
Rv0208c	Rv3211
Rv0208c	Rv3303c
Rv0208c	Rv3443c
Rv0208c	Rv3458c
Rv0208c	Rv3460c
Rv0214	Rv0270
Rv0214	Rv0551c
Rv0214	Rv1058
Rv0214	Rv1193
Rv0214	Rv1427c
Rv0214	Rv1475c
Rv0214	Rv2505c
Rv0214	Rv2948c
Rv0214	Rv3089
Rv0214	Rv3561
Rv0215c	Rv0752c
Rv0215c	Rv0873
Rv0215c	Rv0972c
Rv0215c	Rv0975c
Rv0215c	Rv1819c
Rv0215c	Rv2088
Rv0215c	Rv2176
Rv0215c	Rv2500c
Rv0215c	Rv2724c
Rv0215c	Rv2789c
Rv0215c	Rv3139
Rv0215c	Rv3140
Rv0215c	Rv3274c
Rv0222	Rv0675
Rv0222	Rv1070c
Rv0222	Rv2831
Rv0222	Rv3516
Rv0223c	Rv0234c
Rv0223c	Rv0458
Rv0223c	Rv0753c
Rv0223c	Rv0768
Rv0223c	Rv1187
Rv0223c	Rv1416
Rv0223c	Rv1473
Rv0223c	Rv1617
Rv0223c	Rv1668c
Rv0223c	Rv1731
Rv0223c	Rv2462c
Rv0223c	Rv2477c
Rv0223c	Rv2583c
Rv0223c	Rv2858c
Rv0223c	Rv3293
Rv0234c	Rv0458
Rv0234c	Rv0753c
Rv0234c	Rv0768
Rv0234c	Rv1187
Rv0234c	Rv1416
Rv0234c	Rv1473
Rv0234c	Rv1617
Rv0234c	Rv1668c
Rv0234c	Rv1731
Rv0234c	Rv2462c
Rv0234c	Rv2477c
Rv0234c	Rv2583c
Rv0234c	Rv2858c
Rv0234c	Rv3293
Rv0242c	Rv0462
Rv0242c	Rv0484c
Rv0242c	Rv0687
Rv0242c	Rv0765c
Rv0242c	Rv0769
Rv0242c	Rv0794c
Rv0242c	Rv0851c
Rv0242c	Rv0927c
Rv0242c	Rv1050
Rv0242c	Rv1245c
Rv0242c	Rv1350
Rv0242c	Rv1483
Rv0242c	Rv1640c
Rv0242c	Rv1714
Rv0242c	Rv1865c
Rv0242c	Rv1928c
Rv0242c	Rv1941
Rv0242c	Rv2002
Rv0242c	Rv2129c
Rv0242c	Rv2713
Rv0242c	Rv2750
Rv0242c	Rv2766c
Rv0242c	Rv2855
Rv0242c	Rv2857c
Rv0242c	Rv3010c
Rv0242c	Rv3057c
Rv0242c	Rv3303c
Rv0242c	Rv3485c
Rv0242c	Rv3502c
Rv0242c	Rv3530c
Rv0242c	Rv3548c
Rv0242c	Rv3549c
Rv0242c	Rv3559c
Rv0242c	Rv3598c
Rv0243	Rv0462
Rv0243	Rv0721
Rv0243	Rv0794c
Rv0243	Rv2713
Rv0243	Rv2855
Rv0243	Rv2904c
Rv0243	Rv3303c
Rv0248c	Rv0904c
Rv0248c	Rv1552
Rv0248c	Rv1594
Rv0248c	Rv1595
Rv0248c	Rv3318
Rv0266c	Rv0384c
Rv0266c	Rv0655
Rv0266c	Rv0986
Rv0266c	Rv1238
Rv0266c	Rv2038c
Rv0266c	Rv2397c
Rv0266c	Rv2564
Rv0266c	Rv2832c
Rv0266c	Rv3102c
Rv0266c	Rv3596c
Rv0270	Rv0542c
Rv0270	Rv0551c
Rv0270	Rv1058
Rv0270	Rv1193
Rv0270	Rv1427c
Rv0270	Rv1475c
Rv0270	Rv2505c
Rv0270	Rv2948c
Rv0270	Rv3089
Rv0270	Rv3561
Rv0334	Rv0684
Rv0337c	Rv0685
Rv0337c	Rv1617
Rv0346c	Rv0522
Rv0346c	Rv0667
Rv0346c	Rv0764c
Rv0346c	Rv0783c
Rv0346c	Rv0853c
Rv0346c	Rv1165
Rv0346c	Rv1704c
Rv0346c	Rv1819c
Rv0346c	Rv2127
Rv0346c	Rv2404c
Rv0346c	Rv3646c
Rv0350	Rv0363c
Rv0350	Rv0405
Rv0350	Rv0435c
Rv0350	Rv0655
Rv0350	Rv0667
Rv0350	Rv0672
Rv0350	Rv0685
Rv0350	Rv0702
Rv0350	Rv0719
Rv0350	Rv0728c
Rv0350	Rv0844c
Rv0350	Rv0904c
Rv0350	Rv0927c
Rv0350	Rv0973c
Rv0350	Rv1023
Rv0350	Rv1077
Rv0350	Rv1098c
Rv0350	Rv1180
Rv0350	Rv1200
Rv0350	Rv1253
Rv0350	Rv1281c
Rv0350	Rv1336
Rv0350	Rv1340
Rv0350	Rv1354c
Rv0350	Rv1357c
Rv0350	Rv1392
Rv0350	Rv1408
Rv0350	Rv1436
Rv0350	Rv1437
Rv0350	Rv1438
Rv0350	Rv1442
Rv0350	Rv1454c
Rv0350	Rv1464
Rv0350	Rv1527c
Rv0350	Rv1547
Rv0350	Rv1600
Rv0350	Rv1617
Rv0350	Rv1629
Rv0350	Rv1643
Rv0350	Rv1659
Rv0350	Rv1661
Rv0350	Rv1662
Rv0350	Rv1664
Rv0350	Rv1689
Rv0350	Rv1821
Rv0350	Rv1912c
Rv0350	Rv1928c
Rv0350	Rv2048c
Rv0350	Rv2101
Rv0350	Rv2115c
Rv0350	Rv2150c
Rv0350	Rv2152c
Rv0350	Rv2213
Rv0350	Rv2245
Rv0350	Rv2246
Rv0350	Rv2334
Rv0350	Rv2382c
Rv0350	Rv2397c
Rv0350	Rv2428
Rv0350	Rv2444c
Rv0350	Rv2445c
Rv0350	Rv2457c
Rv0350	Rv2460c
Rv0350	Rv2461c
Rv0350	Rv2501c
Rv0350	Rv2521
Rv0350	Rv2555c
Rv0350	Rv2592c
Rv0350	Rv2614c
Rv0350	Rv2703
Rv0350	Rv2710
Rv0350	Rv2733c
Rv0350	Rv2833c
Rv0350	Rv2839c
Rv0350	Rv2845c
Rv0350	Rv2883c
Rv0350	Rv2890c
Rv0350	Rv2904c
Rv0350	Rv2931
Rv0350	Rv2932
Rv0350	Rv2933
Rv0350	Rv2934
Rv0350	Rv2935
Rv0350	Rv2940c
Rv0350	Rv2947c
Rv0350	Rv2967c
Rv0350	Rv2981c
Rv0350	Rv2996c
Rv0350	Rv3025c
Rv0350	Rv3062
Rv0350	Rv3116
Rv0350	Rv3133c
Rv0350	Rv3141
Rv0350	Rv3206c
Rv0350	Rv3211
Rv0350	Rv3240c
Rv0350	Rv3285
Rv0350	Rv3370c
Rv0350	Rv3398c
Rv0350	Rv3417c
Rv0350	Rv3432c
Rv0350	Rv3476c
Rv0350	Rv3589
Rv0350	Rv3602c
Rv0350	Rv3610c
Rv0350	Rv3628
Rv0350	Rv3663c
Rv0350	Rv3758c
Rv0350	Rv3777
Rv0350	Rv3797
Rv0350	Rv3800c
Rv0350	Rv3825c
Rv0352	Rv0363c
Rv0352	Rv0384c
Rv0352	Rv0408
Rv0352	Rv0639
Rv0352	Rv0641
Rv0352	Rv0655
Rv0352	Rv0668
Rv0352	Rv0672
Rv0352	Rv0683
Rv0352	Rv0685
Rv0352	Rv0700
Rv0352	Rv0701
Rv0352	Rv0702
Rv0352	Rv0704
Rv0352	Rv0706
Rv0352	Rv0707
Rv0352	Rv0716
Rv0352	Rv0719
Rv0352	Rv0721
Rv0352	Rv0728c
Rv0352	Rv0820
